"","team_api_id","team_long_name","team_short_name","sum_build","sum_chance","sum_defence","noOfPlayers","totalGoals"
"102",8722,"1. FC Köln","FCK",171,165,170,71,226
"103",9810,"Eintracht Frankfurt","EFR",153,165,151,84,296
"104",8177,"Hertha BSC Berlin","HBE",175,172,155,78,238
"105",9912,"DSC Arminia Bielefeld","BIE",166,165,138,20,29
"106",8697,"SV Werder Bremen","WBR",174,216,205,90,423
"107",8398,"FC Energie Cottbus","COT",126,175,206,20,30
"108",8226,"TSG 1899 Hoffenheim","HOF",180,191,200,88,400
"109",9788,"Borussia Mönchengladbach","GLA",121,185,160,73,403
"110",10269,"VfB Stuttgart","STU",168,200,175,81,415
"111",8295,"Karlsruher SC","KAR",164,205,170,25,30
"112",9911,"VfL Bochum","BOC",164,172,172,30,72
"113",8358,"SC Freiburg","FRE",151,160,158,70,245
"114",8165,"1. FC Nürnberg","NUR",153,180,162,63,193
"115",9905,"1. FSV Mainz 05","MAI",178,185,170,81,320
"116",8350,"1. FC Kaiserslautern","KAI",167,185,210,37,72
"117",8152,"FC St. Pauli","STP",161,190,185,25,35
"118",8406,"FC Augsburg","AUG",169,188,161,59,201
"119",8194,"Fortuna Düsseldorf","FDU",198,190,169,25,39
"120",8357,"SpVgg Greuther Fürth","GRF",167,170,170,30,26
"121",9776,"Eintracht Braunschweig","BRA",183,195,157,25,29
"122",8460,"SC Paderborn 07","PAD",175,168,145,22,31
"123",8234,"FC Ingolstadt 04","ING",160,151,140,23,33
"124",8262,"SV Darmstadt 98","DAR",179,174,129,21,38
"125",8524,"Atalanta","ATA",146,170,165,101,283
"126",8551,"Siena","SIE",144,183,160,76,149
"127",8529,"Cagliari","CAG",167,196,187,74,309
"128",8543,"Lazio","LAZ",188,220,190,76,417
"129",8530,"Catania","CAT",175,178,147,69,251
"130",10233,"Genoa","GEN",184,182,154,138,392
"131",8533,"Chievo Verona","CHI",187,170,165,99,285
"132",8690,"Reggio Calabria","REG",163,186,140,26,30
"133",8535,"Fiorentina","FIO",121,172,184,105,440
"134",9885,"Juventus","JUV",115,195,169,86,543
"135",8564,"Milan","ACM",170,177,164,95,496
"136",9857,"Bologna","BOL",164,175,135,113,263
"137",8686,"Roma","ROM",153,208,155,100,530
"138",9875,"Napoli","NAP",180,215,165,80,514
"139",9882,"Sampdoria","SAM",130,180,175,108,318
"140",8636,"Inter","INT",182,203,165,97,496
"141",9804,"Torino","TOR",209,189,145,80,241
"142",9888,"Lecce","LEC",100,175,165,63,121
"143",8600,"Udinese","UDI",205,199,160,89,415
"144",8540,"Palermo","PAL",168,165,152,106,351
"145",9976,"Bari","BAR",157,193,161,45,76
"146",8537,"Livorno","LIV",183,172,163,55,66
"147",10167,"Parma","PAR",152,176,166,86,272
"148",9880,"Cesena","CES",143,170,145,70,98
"149",9858,"Brescia","BRE",141,180,155,26,34
"150",6269,"Novara","NOV",179,172,151,28,34
"151",9878,"Pescara","PES",152,180,145,33,27
"152",9876,"Hellas Verona","VER",157,173,169,60,145
"153",7943,"Sassuolo","SAS",188,186,138,47,141
